date,Time_to_Maturity,last_value,spread_bps,spread_dec,hazard,s_tau,Q_fit_spline,NS_fit,piecewise_fit
2016-02-04,10.189041095890412,157.02,157.02,0.015702,0.026170000000000002,0.7659432443844785,0.802527984961896,0.8035031380526163,0.7659432443844785
2016-02-11,10.169863013698631,196.263,196.263,0.0196263,0.0327105,0.7170130023915832,0.8025986929213698,0.8035462993844129,0.7170130023915832
2016-02-18,10.150684931506849,179.594,179.594,0.0179594,0.029932333333333335,0.7379835940365739,0.8026695517009408,0.8035897067544764,0.7379835940365739
2016-03-03,10.112328767123287,176.136,176.136,0.0176136,0.029356,0.743149886372048,0.8028117274148705,0.80367726697957,0.743149886372048
2016-03-04,10.10958904109589,169.285,169.285,0.0169285,0.028214166666666665,0.7518385816481445,0.8028219064288138,0.8036835596142857,0.7518385816481445
2016-03-11,10.09041095890411,161.037,161.037,0.016103700000000002,0.026839500000000006,0.7627525708180073,0.8028932485241267,0.8037277522888285,0.7627525708180073
2016-03-17,10.073972602739726,161.788,161.788,0.0161788,0.026964666666666668,0.7621275771393029,0.8029545236306515,0.8037658336207373,0.7621275771393029
2016-03-29,10.04109589041096,160.595,160.595,0.0160595,0.026765833333333336,0.7643279720931042,0.8030774231569634,0.8038425603790886,0.7643279720931042
2016-03-30,10.038356164383561,160.007,160.007,0.0160007,0.026667833333333335,0.765136362709746,0.8030876859867905,0.8038489884560385,0.765136362709746
2016-04-12,10.002739726027396,172.635,172.635,0.017263499999999998,0.028772499999999996,0.7499086883224928,0.8032214030815075,0.8039330364357946,0.7499086883224928
2016-04-20,9.98082191780822,164.754,164.754,0.016475399999999998,0.027458999999999997,0.7602838800672566,0.8033039704730242,0.8039852076100847,0.7602838800672566
2016-04-21,9.978082191780821,140.643,140.643,0.0140643,0.0234405,0.7914478925566166,0.8033143065422781,0.8039917532681867,0.7914478925566166
2016-04-26,9.964383561643835,138.79,138.79,0.013878999999999999,0.023131666666666665,0.794142153530392,0.8033660376899321,0.804024562834919,0.794142153530392
2016-04-28,9.95890410958904,139.195,139.195,0.0139195,0.023199166666666667,0.7937090852419106,0.8033867539413063,0.8040377246990705,0.7937090852419106
2016-04-29,9.956164383561644,138.09,138.09,0.013809,0.023015,0.7952163020470894,0.8033971171836167,0.8040443138053539,0.7952163020470894
2016-05-02,9.947945205479453,136.651,136.651,0.013665100000000001,0.02277516666666667,0.7972666332371784,0.8034282274320599,0.8040641138912314,0.7972666332371784
2016-05-03,9.945205479452055,138.04,138.04,0.013803999999999999,0.023006666666666665,0.7954828204140041,0.8034386043706981,0.8040707248617395,0.7954828204140041
2016-05-04,9.942465753424658,135.838,135.838,0.0135838,0.02263966666666667,0.7984410735329813,0.8034489847449242,0.8040773413129755,0.7984410735329813
2016-05-05,9.93972602739726,151.062,151.062,0.015106200000000002,0.025177000000000005,0.7786041745638522,0.8034593685593527,0.8040839632508222,0.7786041745638522
2016-05-10,9.926027397260274,139.977,139.977,0.0139977,0.0233295,0.793287753533549,0.803511339396502,0.8041171554455937,0.793287753533549
2016-05-13,9.917808219178083,145.569,145.569,0.0145569,0.0242615,0.786139592194661,0.8035425634779638,0.804137136979787,0.786139592194661
2016-05-19,9.901369863013699,142.786,142.786,0.0142786,0.02379766666666667,0.7900733422466494,0.8036051057821347,0.8041772497856196,0.7900733422466494
2016-05-20,9.898630136986302,135.226,135.226,0.0135226,0.022537666666666668,0.8000412209260946,0.8036155417577272,0.804183954733276,0.8000412209260946
2016-05-24,9.887671232876713,123.895,123.895,0.0123895,0.020649166666666666,0.8153219841111355,0.8036573208564679,0.8042108304007678,0.8153219841111355
2016-05-31,9.868493150684932,126.811,126.811,0.0126811,0.02113516666666667,0.8117423862351839,0.8037305705157847,0.8042580788723469,0.8117423862351839
2016-06-01,9.865753424657534,126.538,126.538,0.0126538,0.021089666666666666,0.8121538785738587,0.8037410489835084,0.804264851197852,0.8121538785738587
2016-06-02,9.863013698630137,136.876,136.876,0.013687600000000001,0.02281266666666667,0.7985149061310552,0.8037515310232597,0.8042716291775275,0.7985149061310552
2016-06-06,9.852054794520548,153.204,153.204,0.015320400000000001,0.025534000000000005,0.7775849603603768,0.8037934949986882,0.8042987977597876,0.7775849603603768
2016-06-10,9.841095890410958,151.815,151.815,0.0151815,0.025302500000000002,0.7795765987718456,0.8038355165119423,0.8043260572970486,0.7795765987718456
2016-06-13,9.832876712328767,161.753,161.753,0.0161753,0.026958833333333335,0.7671423631487794,0.8038670705925687,0.8043465618753063,0.7671423631487794
2016-06-14,9.830136986301369,159.024,159.024,0.0159024,0.026504000000000003,0.7706369096225338,0.8038775958731342,0.8043534081818919,0.7706369096225338
2016-06-16,9.824657534246576,145.187,145.187,0.0145187,0.024197833333333335,0.78841125696026,0.8038986573440838,0.8043671180028462,0.78841125696026
2016-06-20,9.813698630136987,136.012,136.012,0.0136012,0.02266866666666667,0.8005442556903952,0.8039408240623824,0.8043946066492187,0.8005442556903952
